color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,country,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,title_year,gross_inflation,,,,
 Black and White,D.W. Griffith,69,123,204,9,Mae Marsh,436,,Drama,Lillian Gish,Intolerance: Love's Struggle Throughout the Ages,10718,481,Walter Long,USA,385907,22,8,1.33,691,1916,0,,,1970 Price x (2011 CPI / 1970 CPI) = 2011 Price,
 Black and White,Harry F. Millarde,1,110,0,0,Johnnie Walker,2,3000000,Crime,Stephen Carr,Over the Hill to the Poorhouse,5,4,Mary Carr,USA,100000,2,4.8,1.33,0,1920,38348550,,2019 CPI,,
 Black and White,King Vidor,48,151,54,6,Renée Adorée,81,,Drama,John Gilbert,The Big Parade,4849,108,Claire Adams,USA,245000,12,8.3,1.33,226,1925,0,,255.657,,
 Black and White,Fritz Lang,260,145,756,18,Gustav Fröhlich,136,26435,Drama,Brigitte Helm,Metropolis,111841,203,Rudolf Klein-Rogge,Germany,6000000,23,8.3,1.33,12000,1927,388407.6319,,,2010,218.0555
 Black and White,Georg Wilhelm Pabst,71,110,21,3,Francis Lederer,426,9950,Crime,Louise Brooks,Pandora's Box,7431,455,Fritz Kortner,Germany,,20,8,1.33,926,1929,148759.4825,,,2011,224.9391667
 Black and White,Harry Beaumont,36,100,4,4,Bessie Love,77,2808000,Musical,Anita Page,The Broadway Melody,4546,109,Charles King,USA,379000,28,6.3,1.37,167,1929,41981570.53,,,2012,229.5939167
 Black and White,Howard Hughes,35,96,177,4,Marian Marsh,431,,Drama,Jean Harlow,Hell's Angels,3753,457,James Hall,USA,3950000,12,7.8,1.2,279,1930,0,,,2013,232.9570833
 Black and White,Frank Borzage,42,79,57,99,Helen Hayes,998,,Drama,Gary Cooper,A Farewell to Arms,3519,1284,Adolphe Menjou,USA,800000,164,6.6,1.37,213,1932,0,,,2014,236.7361667
 Black and White,Lloyd Bacon,65,89,24,45,Dick Powell,610,2300000,Comedy,Ginger Rogers,42nd Street,7921,995,George Brent,USA,439000,105,7.7,1.37,439,1933,45231623.08,,,2015,237.017
 Black and White,Lowell Sherman,35,66,16,28,Gilbert Roland,418,,Comedy,Mae West,She Done Him Wrong,4152,583,Louise Beavers,USA,200000,85,6.5,1.37,328,1933,0,,,2016,240.0071667
 Black and White,Frank Capra,124,65,964,21,Alan Hale,380,,Comedy,Claudette Colbert,It Happened One Night,64888,540,Walter Connolly,USA,325000,114,8.2,1.37,0,1934,0,,,2017,245.1195833
