Title,Release Year,Locations,Latitude,Longitude,Director,Writer,Actor 1,Actor 2,Actor 3,Address,Full Address,color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,Genre,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,MTW Status,,genres,imdb_score
Terminator - Genisys,2015,1 Market St. Landmark Building,37.794046,-122.395366,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,"1 Market St. Landmark Building San Francisco California,",,Color,474,126,230,2000,Emilia Clarke,24000,89732035,Action,J.K. Simmons,Terminator Genisys,188457,38873,Matt Smith,English,USA,PG-13,155000000,10000,20.1,2.35,82000,Matching,,,
Steve Jobs,2015,21st and Collingswood St.,39.78373,-100.446,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,"Collingswood St. San Francisco California,",,Color,412,122,0,816,Michael Fassbender,14000,17750583,Biography,Kate Winslet,Steve Jobs,93548,28933,Michael Stuhlbarg,English,UK,R,30000000,13000,7.2,2.35,23000,Matching,,,
The Diary of a Teenage Girl,2015,304 Lily St.,37.77414,-122.426,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,"304 Lily St. San Francisco California,",,Color,168,102,22,80,David Fine,10000,1477002,Drama,Alexander Skarsgård,The Diary of a Teenage Girl,16645,11184,Austin Lyon,English,USA,R,2000000,1000,14.1,2.35,0,Matching,,,
Big Eyes,2014,1101 Filbert St.,37.79677,-122.446,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,"1101 Filbert St. San Francisco California,",,Color,325,106,13000,309,Danny Huston,11000,14479776,Biography,Christoph Waltz,Big Eyes,55539,12418,Jon Polito,English,USA,PG-13,10000000,430,7,1.85,20000,Matching,,,
Dawn of the Planet of the Apes,2014,Alioto Park,37.75891,-122.418,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,"Alioto Park San Francisco California,",,Color,521,130,198,884,Judy Greer,10000,208543795,Action,Gary Oldman,Dawn of the Planet of the Apes,317542,14363,Kodi Smit-McPhee,English,USA,PG-13,170000000,2000,14.1,1.85,45000,Matching,,,
Blue Jasmine,2013,1138 Alabama St,37.74375,-122.41,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,"1138 Alabama St San Francisco California,",,Color,415,98,11000,218,Charlie Tahan,594,33404871,Drama,Sally Hawkins,Blue Jasmine,150082,1353,Andrew Dice Clay,English,USA,PG-13,18000000,268,7.3,2.35,36000,Matching,,,
The Internship,2013,Epic Roasthouse,37.80669,-122.406,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne,"399 Embarcadero San Francisco California,",,Color,246,125,189,839,Jessica Szohr,1000,44665963,Comedy,Josh Gad,The Internship,159931,5081,Rob Riggle,English,USA,PG-13,58000000,847,6.3,2.35,22000,Matching,,,
On the Road,2012,2017 23rd Street,37.75437,-122.405,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,"2017 23rd Street San Francisco California,",,Color,252,137,179,4000,Viggo Mortensen,17000,717753,Adventure,Kristen Stewart,On the Road,33107,33747,Kirsten Dunst,English,France,R,25000000,10000,6.1,2.35,27000,Matching,,,
The Master,2012,Pier 7/ Embarcadero,39.78373,-100.446,Paul Thomas Anderson,Paul Thomas Anderson,Philip Seymour Hoffman,Joaquin Phoenix,,"Pier 7 San Francisco California,",,Color,546,144,0,15,Jeffrey W. Jenkins,378,16377274,Drama,Mike Howard,The Master,105144,427,Bruce Goodchild,English,USA,R,32000000,18,7.1,1.85,27000,Matching,,,
Hereafter,2010,1160 Taylor Street,37.78826,-122.412,Clint Eastwood,Peter Morgan,Matt Damon,Cecile De France,,"1160 Taylor Street San Francisco California,",,Color,315,129,16000,447,Jay Mohr,13000,32741596,Drama,Matt Damon,Hereafter,80140,14344,Cécile De France,English,USA,PG-13,50000000,563,6.5,2.35,16000,Matching,,,
Milk,2008,29th and Dolores Street,37.74149,-122.424,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,"Dolores Street San Francisco California,",,Color,324,128,835,755,Denis O'Hare,11000,31838002,Biography,James Franco,Milk,136673,13189,Lucas Grabeel,English,USA,R,20000000,896,7.6,1.85,10000,Matching,,,
Zodiac,2007,SF Chronicle Building (901 Mission St),37.79376,-122.393,David Fincher,James Vanderbilt,Jake Gyllenhaal,Mark Ruffalo,,"901 Mission St San Francisco California,",,Color,377,162,21000,495,Jake Gyllenhaal,21000,33048353,Crime,Robert Downey Jr.,Zodiac,301279,36928,Anthony Edwards,English,USA,R,65000000,15000,7.7,2.35,12000,Matching,,,
Rent,2005,Treasure Island,37.82335,-122.37,Chris Columbus,Stephen Chbosky,Anthony Rapp,Rosario Dawson,,"Treasure Island San Francisco California,",,Color,146,135,0,715,David Fine,3000,29077547,Drama,Rosario Dawson,Rent,41685,5917,Jesse L. Martin,English,USA,PG-13,40000000,1000,7,2.35,3000,Matching,,,
What the Bleep Do We Know,2004,Golden Gate National Recreation Area,37.76937,-122.482,William Arntz,William Arntz & Betsy Chasse,Marlee Matlin,,,"Golden Gate Park San Francisco California,",, Black and White,74,109,0,428,Elaine Hendrix,847,10941801,Comedy,Marlee Matlin,What the #$*! Do We (K)now!?,12059,2649,Armin Shimerman,English,USA,Unrated,,670,12.2,1.85,2000,Matching,,,
Hulk,2003,Golden Gate Bridge,37.83029,-122.48,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,,"Golden Gate Bridge San Francisco California,",,Color,267,138,0,258,Regi Davis,820,132122995,Action,Kevin Rankin,Hulk,212106,1814,Celia Weston,English,USA,PG-13,137000000,300,5.7,1.85,0,Matching,,,
Under the Tuscan Sun,2003,Mecca Restaurant (2029 Market Street),37.76834,-122.428,Audrey Wells,Audrey Wells,Diane Lane,Sandra Oh,,"2029 Market Street San Francisco California,",,Color,111,113,22,148,Lindsay Duncan,727,43601508,Comedy,Raoul Bova,Under the Tuscan Sun,35718,1310,Mario Monicelli,English,USA,PG-13,18000000,171,6.7,1.85,0,Matching,,,
High Crimes,2002,391 Pennsylvania Avenue at 19th Street,37.75139,-122.393,Carl Franklin,Yuri Zeltser,Ashley Judd,Morgan Freeman,,"391 Pennsylvania Avenue San Francisco California,",,Color,114,115,73,505,Adam Scott,11000,41543207,Crime,Morgan Freeman,High Crimes,30077,15571,Bruce Davison,English,USA,PG-13,42000000,3000,6.3,2.35,893,Matching,,,
40 Days and 40 Nights,2002,Café Trieste (609 Vallejo),37.79461,-122.44,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,,"609 Vallejo San Francisco California,",,Color,140,96,36,486,Vinessa Shaw,1000,37939782,Comedy,Emmanuelle Vaugier,40 Days and 40 Nights,62272,3294,Paulo Costanzo,English,USA,R,17000000,580,10.7,1.85,2000,Matching,,,
The Princess Diaries,2001,2601 Lyon Street,37.79856,-122.447,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,"2601 Lyon Street San Francisco California,",,Color,108,111,0,529,Hector Elizondo,11000,108244774,Comedy,Anne Hathaway,The Princess Diaries,94049,13645,Heather Matarazzo,English,USA,G,37000000,995,16,1.85,0,Matching,,,
Sweet November,2001,Blooms Saloon (18th Street between Missouri and Texas Streets),37.76279,-122.393,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,,"18th Street San Francisco California,",,Color,94,119,7,903,Charlize Theron,18000,25178165,Drama,Keanu Reeves,Sweet November,70292,29484,Frank Langella,English,USA,PG-13,40000000,9000,6.7,1.85,8000,Matching,,,
Boys and Girls,2000,1122 Folsom Street,37.77639,-122.409,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,"1122 Folsom Street San Francisco California,",,Color,67,94,7,95,Amanda Detmer,3000,20627372,Comedy,Alyson Hannigan,Boys and Girls,13661,3451,Tsianina Joelson,English,USA,PG-13,16000000,240,11.3,1.85,487,Matching,,,
