Title,Release Year,Locations,Latitude,Longitude,Director,Writer,Actor 1,Actor 2,Actor 3,Address,Full Address
Sense8,2015,"""Metzger's Apt"" 151 Alice B. Toklas Pl.",37.785289,-122.420713,The Wachowskis,The Wachowskis,Jamie Clayton,,,"151 Alice B. Toklas Pl. San Francisco California,",
Broken-A Modern Love Story,2010,0-100 block Halleck Street,37.79369,-122.400066,Ryan K. Whiting,Ryan K. Whiting,,,,"100 Halleck Street San Francisco California,",
The Game,1997,1 Bush Street,37.787157,-122.432378,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,"1 Bush Street San Francisco California,",
Terminator - Genisys,2015,1 Market St. Landmark Building,37.794046,-122.395366,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,"1 Market St. Landmark Building San Francisco California,",
Experiment in Terror,1962,1 Montgomery Street at Post,37.789286,-122.402058,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,"1 Montgomery Street at Post San Francisco California,",
I's,2011,1 Post Street,37.789037,-122.402637,Chris Edgette,Kyle Tuck,,,,"1 Post Street San Francisco California,",
Chance- Season 1 ep110,2016,1 Urbano,37.724482,-122.46326,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,"1 Urbano San Francisco California,",
Cardinal X,2015,100 Alemany Blvd.,37.73623,-122.4091,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,"100 Alemany Blvd. San Francisco California,",
The Love Bug,1968,100 Block of Lombard Street,37.804004,-122.403652,Robert Stevenson,Bill Walsh,Dean Jones,Michele Lee,David Tomlinson,"100 Lombard Street San Francisco California,",
Time After Time,1979,100 Block of Union Street (Cow Hollow),37.801364,-122.401981,Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,"100 Union Street San Francisco California,",
Looking Season 2 ep 202,2015,100 Church Street,37.76934,-122.429126,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"100 Church Street San Francisco California,",
Mrs. Doubtfire,1993,100 Embarcadero Street,37.795161,-122.395698,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,"100 Embarcadero Street San Francisco California,",
Interview With The Vampire,1994,100 Market Street at 6th Street,37.780858,-122.408585,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise,"100 Market Street San Francisco California,",
Experiment in Terror,1962,100 St. Germain Avenue,37.757462,-122.450512,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,"100 St. Germain Avenue San Francisco California,",
Chance- Season 1 ep108,2016,1000 Mason St.,37.793002,-122.411055,Peter Elkoff and Victoria Morrow,Andrew Bernstein,Hugh Laurie,Gretchen Mol,Ethan Suplee,"1000 Mason St. San Francisco California,",
The OA Part II,2019,1001 Vallejo St,37.797908,-122.4144,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,"1001 Vallejo St San Francisco California,",
Vertigo,1958,1007 Gough Street,37.782533,-122.424109,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,"1007 Gough Street San Francisco California,",
Can't Stop the Music,1980,101 Henry Adams Place,37.768344,-122.403888,Nancy Walker,Allan Carr,Ray Simpson,David Hodo,Felipe Rose,"101 Henry Adams San Francisco California,",
Nine Months,1995,"101 Henry Adams Place, 4th Floor",37.768344,-122.403888,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,"101 Henry Adams San Francisco California,",
Chance- Season 1 ep104,2016,1018 Tennessee St.,37.758951,-122.389355,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,"1018 Tennessee St. San Francisco California,",
Chance - Season 1 Pilot,2016,1055 Montgomery St.,37.798863,-122.403992,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,"1055 Montgomery St. San Francisco California,",
"Murder in the First, Season 2",2015,1059 Texas Street,37.752933,-122.394631,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"1059 Texas Street San Francisco California,",
Pushing Dead,2016,1069 Tennessee Street,37.76171,-122.39,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,"1069 Tennessee Street San Francisco California,",
"Looking ""Special""",2016,1080 Natoma Street,37.76743,-122.418,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"1080 Natoma Street San Francisco California,",
"Looking ""Special""",2016,10th Street between Market & Mission,37.76896,-122.408,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"10th Street San Francisco California,",
Chance- Season 1 ep104,2016,11 San Jacinto Ave.,39.78373,-100.446,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,"11 San Jacinto Ave. San Francisco California,",
Big Eyes,2014,1101 Filbert St.,37.79677,-122.446,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,"1101 Filbert St. San Francisco California,",
