color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Renny Harlin,167,125,212,394,Alan Ford,613,41814863,Horror,James D'Arcy,Exorcist: The Beginning ,28635,1970,Izabella Scorupco,0,archeologist,308,English,USA,R,50000000,2004,422,5.1,2,893
Color,Peter Hyams,95,110,0,308,Penelope Ann Miller,510,33927476,Horror,John Kapelos,The Relic ,19176,1976,Chi Muoi Lo,0,fire,165,English,UK,R,40000000,1997,344,5.7,2.35,956
Color,Paul W.S. Anderson,172,130,545,552,Joely Richardson,722,26616590,Horror,Sean Pertwee,Event Horizon ,120416,2525,Kathleen Quinlan,0,solar system,857,English,UK,R,60000000,1997,585,6.7,2.35,10000
Color,Walter Hill,100,91,394,68,Wilson Cruz,889,14218868,Horror,Robert Forster,Supernova ,14596,1262,Vanessa Marshall,0,deep space,282,English,USA,PG-13,65000000,2000,290,4.8,2.35,589
Color,Hideo Nakata,196,128,62,874,Gary Cole,6000,75888270,Horror,Naomi Watts,The Ring Two ,71153,10163,Sissy Spacek,0,cartoon on tv,560,English,USA,PG-13,,2005,989,5.4,1.85,0
Color,Chuck Bowman,32,89,42,235,Lochlyn Munro,598,,Horror,P.J. Soles,The Tooth Fairy ,1263,2353,Steve Bacic,0,bare breasts,32,English,USA,,1500000,2006,555,4.6,1.78,352
Color,Albert Hughes,208,122,117,140,Jason Flemyng,40000,31598308,Horror,Johnny Depp,From Hell ,124765,41636,Ian Richardson,1,freemason,541,English,USA,R,35000000,2001,1000,6.8,2.35,0
Color,James Wan,300,134,0,336,Frances O'Connor,1000,102310175,Horror,Javier Botet,The Conjuring 2 ,64989,2676,Robin Atkin Downes,0,based on supposedly true story,279,English,USA,R,40000000,2016,575,7.8,2.35,40000
Color,Wes Craven,212,116,0,71,Roger Jackson,287,89138076,Horror,Kelly Rutherford,Scream 3 ,98535,600,Nancy O'Dell,4,death,734,English,USA,R,40000000,2000,157,5.5,2.35,0
Color,David R. Ellis,221,82,160,748,Andrew Fiscella,164000,66466372,Horror,Krista Allen,The Final Destination ,75345,303717,Shantel VanSanten,0,attempted suicide,290,English,USA,R,40000000,2009,137000,5.2,2.35,0
 Black and White,Iain Softley,193,104,34,280,Deneen Tyler,545,47806295,Horror,Gena Rowlands,The Skeleton Key ,87447,1274,Joy Bryant,0,attic,371,English,USA,PG-13,43000000,2005,351,6.5,2.35,0
Color,Mathieu Kassovitz,207,98,326,416,Charles S. Dutton,21000,59588068,Horror,Robert Downey Jr.,Gothika ,89557,22318,Bernard Hill,1,memory,376,English,USA,R,40000000,2003,534,5.8,1.85,0
Color,Wes Craven,420,111,0,687,Aimee Teegarden,2000,38176892,Horror,Alison Brie,Scream 4 ,104119,4486,Shenae Grimes-Beech,0,author,518,English,USA,R,40000000,2011,741,6.2,2.35,26000
Color,Steven Quale,277,92,77,495,Jacqueline MacInnes Wood,703,42575718,Horror,Emma Bell,Final Destination 5 ,83788,3074,Courtney B. Vance,0,blood splatter,227,English,USA,R,40000000,2011,682,5.9,2.35,20000
Color,John Frankenheimer,70,99,287,44,Temuera Morrison,10000,27663982,Horror,Marlon Brando,The Island of Dr. Moreau ,26051,10469,Marco Hofschneider,2,animal experimentation,164,English,USA,PG-13,40000000,1996,368,4.4,2.35,0
Color,Stephen Hopkins,190,99,81,135,Andrea Frankle,327,25117498,Horror,Stephen Rea,The Reaping ,37412,960,William Ragsdale,0,biblical plague,178,English,USA,R,40000000,2007,253,5.7,2.35,0
